Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Distance_Cost,Time_Cost,Avg_Speed,Is_Peak,Is_Weekend,High_Traffic,Bad_Weather,Traffic_Time,Distance_per_Min,Fare_per_Km,Distance_Bin
11.4,Morning,Weekday,3.0,,Clear,4.12,1.22,0.15,84.12,36.118,13.908,12.618,8.131183087139178,1,0,0,0,0.0,0.13392857142857142,0.33225806451612905,"(10.982, 20.734]"
9.91,Evening,Weekday,2.0,High,Clear,2.32,1.26,0.34,41.72,28.9914,12.486600000000001,14.184800000000001,14.251952272977858,1,0,1,0,41.72,0.2319756554307116,0.21264894592117323,"(1.181, 10.982]"
9.99,Night,Weekday,4.0,High,Clear,4.33,0.85,0.43,34.0,27.4415,8.4915,14.62,17.62910066292948,0,0,1,0,34.0,0.2854285714285714,0.3939945404913558,"(1.181, 10.982]"
15.91,Morning,Weekday,4.0,Low,Clear,4.42,1.77,0.21,114.93,56.716,28.160700000000002,24.1353,8.305881984432343,1,0,0,0,0.0,0.13723798844130078,0.2613837965700769,"(10.982, 20.734]"
26.71,Afternoon,Weekend,4.0,Low,Rain,4.3,1.59,0.2,111.18,69.0049,42.468900000000005,22.236000000000004,14.414385243468733,0,1,0,1,0.0,0.2380994829737921,0.15517863587152653,"(20.734, 30.486]"
22.17,Night,,4.0,Low,Clear,2.34,1.97,0.41,57.59,69.6268,43.6749,23.6119,23.097519386844382,0,0,0,0,0.0,0.3783922171018945,0.10099266292619766,"(20.734, 30.486]"
15.27,Morning,,2.0,Low,Clear,3.93,0.73,0.12,61.57,27.3543,11.1471,7.3884,14.880478670014583,1,0,0,0,0.0,0.24404666773213998,0.24154886293792258,"(10.982, 20.734]"
30.98,Afternoon,Weekend,1.0,Low,Rain,4.5,0.84,0.25,57.02,44.7782,26.0232,14.255,32.598745014959505,0,1,0,1,0.0,0.5339538090313685,0.14071294559099437,"(30.486, 40.238]"
7.84,Morning,Weekday,4.0,Medium,,3.73,0.82,0.3,53.8,26.2988,6.4288,16.139999999999997,8.743396913789066,1,0,0,0,0.0,0.14306569343065695,0.42194570135746606,"(1.181, 10.982]"
18.95,Night,Weekday,1.0,Low,Clear,3.38,0.78,0.39,54.04,39.2366,14.781,21.0756,21.039736790487154,0,0,0,0,0.0,0.34429505813953487,0.16942355889724312,"(10.982, 20.734]"
23.35,Night,,3.0,Low,Rain,3.59,0.6,0.24,66.8,33.632000000000005,14.01,16.032,20.972865513184015,0,0,0,1,0.0,0.34439528023598825,0.14743326488706365,"(20.734, 30.486]"
39.47,Afternoon,Weekday,1.0,Low,Clear,3.51,1.22,0.35,7.59,83.69649999999999,48.1534,2.6565,311.9911469449055,0,0,0,0,0.0,4.59487776484284,0.08673091178650852,"(30.486, 40.238]"
10.78,Evening,,3.0,High,Rain,3.92,0.54,0.33,56.07,28.2443,5.8212,18.5031,11.535457084461376,1,0,1,1,56.07,0.18889083581566496,0.33276740237691005,"(1.181, 10.982]"
30.03,,Weekday,1.0,High,Clear,3.31,1.05,0.36,83.21,64.7971,31.5315,29.955599999999997,21.653491261930576,0,0,1,0,83.21,0.35660847880299257,0.10667096358362875,"(20.734, 30.486]"
3.28,Evening,Weekday,2.0,Medium,Clear,2.88,1.76,0.2,78.04,24.260800000000003,5.772799999999999,15.608000000000002,2.521764312421995,1,0,0,0,0.0,0.04149797570850202,0.6728971962616823,"(1.181, 10.982]"
30.77,Morning,Weekday,1.0,Low,Clear,3.64,1.33,0.13,109.6,58.8121,40.9241,14.248,16.844798294899846,1,0,0,0,0.0,0.2782097649186257,0.11457349700975764,"(30.486, 40.238]"
9.36,Afternoon,Weekday,1.0,Medium,Clear,2.4,1.85,0.15,7.07,20.7765,17.316,1.0605,79.42748847339688,0,0,0,0,0.0,1.1598513011152416,0.23166023166023167,"(1.181, 10.982]"
47.5,Morning,Weekend,2.0,Low,Clear,4.39,0.51,0.3,95.55,57.28,24.225,28.665,29.827128244092656,1,1,0,0,0.0,0.4919730709476955,0.09051546391752577,"(40.238, 49.99]"
48.32,Morning,Weekday,2.0,Low,Clear,2.49,0.61,0.44,67.25,61.5552,29.4752,29.59,43.110396041076214,1,0,0,0,0.0,0.707985347985348,0.05048661800486618,"(40.238, 49.99]"
40.61,Afternoon,Weekday,1.0,Low,Clear,2.31,0.88,0.38,42.25,54.1018,35.7368,16.055,57.670186932256584,0,0,0,0,0.0,0.9389595375722544,0.055515501081470804,"(40.238, 49.99]"
15.93,Afternoon,Weekday,2.0,Low,,2.44,1.5,0.42,20.67,35.016400000000004,23.895,8.6814,46.23958665931322,0,0,0,0,0.0,0.7351176742039686,0.14412285883047843,"(10.982, 20.734]"
5.79,Evening,Weekday,4.0,Low,Clear,4.63,1.83,0.24,107.07,40.9225,10.5957,25.696799999999996,3.2445881502485276,1,0,0,0,0.0,0.05357638567595078,0.6818851251840943,"(1.181, 10.982]"
34.53,Morning,Weekday,3.0,Medium,Clear,3.58,1.22,0.26,59.14,60.0471,42.1266,15.3764,35.03177174394578,1,0,0,0,0.0,0.5741602926504822,0.10075992119335772,"(30.486, 40.238]"
22.57,Afternoon,Weekday,1.0,Low,Clear,3.4,1.41,0.29,105.98,62.77850000000001,31.8237,30.734199999999998,12.77781027848493,0,0,0,0,0.0,0.21097401383436157,0.144251166737378,"(20.734, 30.486]"
6.98,Afternoon,Weekend,2.0,Low,Clear,2.32,0.78,0.18,72.37,20.791,5.444400000000001,13.0266,5.7868803077492785,0,1,0,0,0.0,0.09513425105629003,0.2907268170426065,"(1.181, 10.982]"
25.26,Evening,Weekday,2.0,High,Clear,3.95,1.71,0.12,82.53,57.0482,43.1946,9.903599999999999,18.364097680133188,1,0,1,0,82.53,0.3024063210822459,0.1504188880426504,"(20.734, 30.486]"
2.69,Afternoon,Weekday,4.0,Low,Clear,4.6,1.95,0.34,97.49,42.9921,5.2455,33.1466,1.6555442268280223,0,0,0,0,0.0,0.02731241750431516,1.2466124661246611,"(1.181, 10.982]"
45.56,Afternoon,Weekday,2.0,Low,Clear,3.51,0.9,0.5,80.8,85.88400000000001,41.004000000000005,40.4,33.83143194481229,0,0,0,0,0.0,0.5569682151589243,0.07538659793814433,"(40.238, 49.99]"
13.68,Evening,Weekend,3.0,High,Clear,3.88,1.22,0.17,50.78,29.4758,16.6896,8.6326,16.163653048605177,1,1,1,0,50.78,0.2641946697566628,0.26430517711171664,"(10.982, 20.734]"
33.46,Afternoon,Weekend,2.0,Low,Rain,2.23,0.63,0.12,64.07,30.9982,21.079800000000002,7.688399999999999,31.334184477747986,0,1,0,1,0.0,0.5142154602735516,0.06471271038885665,"(30.486, 40.238]"
16.27,Morning,Weekday,1.0,Low,Clear,2.34,1.22,0.41,97.35,64.05529999999999,19.8494,39.91349999999999,10.027673173046699,1,0,0,0,0.0,0.16542958820538892,0.1354950781702374,"(10.982, 20.734]"
26.48,Morning,Weekend,3.0,Medium,Clear,2.15,1.25,0.2,47.97,44.844,33.1,9.594,33.12028617528237,1,1,0,0,0.0,0.540739228098836,0.07823871906841338,"(20.734, 30.486]"
27.79,Evening,Weekday,2.0,Low,Clear,2.77,0.72,0.43,49.63,44.1197,20.008799999999997,21.3409,33.596208790544544,1,0,0,0,0.0,0.5488840608334978,0.0962139631816603,"(20.734, 30.486]"
10.06,Morning,Weekday,2.0,Medium,Rain,2.41,1.16,0.38,16.0,20.1596,11.669599999999999,6.08,37.72358536554879,1,0,0,1,0.0,0.591764705882353,0.21790235081374323,"(1.181, 10.982]"
48.51,Evening,Weekday,3.0,High,Rain,3.51,1.0,0.48,110.18,104.1764,48.51,52.8864,26.41662869870013,1,0,1,1,110.18,0.4363194819212088,0.07089476873358917,"(40.238, 49.99]"
38.98,Afternoon,Weekday,3.0,Low,Clear,3.16,1.28,0.26,15.47,57.0766,49.8944,4.022200000000001,151.17707134823468,0,0,0,0,0.0,2.3667273831208258,0.07903951975987995,"(30.486, 40.238]"
47.04,Night,Weekday,4.0,Medium,,4.83,1.38,0.36,79.54,98.3796,64.9152,28.634400000000003,35.4837655235188,0,0,0,0,0.0,0.5840576111249068,0.10054121565362198,"(40.238, 49.99]"
44.85,Evening,Weekend,1.0,Medium,Rain,3.83,0.51,0.29,52.52,41.9343,22.8735,15.2308,51.23703841921075,1,1,0,1,0.0,0.8380044843049327,0.08353326063249727,"(40.238, 49.99]"
30.3,Night,Weekend,1.0,Low,Clear,4.5,1.64,0.35,51.65,72.2695,49.692,18.077499999999997,35.198042229906335,0,1,0,0,0.0,0.5754985754985755,0.14376996805111822,"(20.734, 30.486]"
46.17,Afternoon,Weekday,4.0,Medium,Clear,4.13,1.57,0.28,83.15,99.8989,72.4869,23.282000000000004,33.31545412781146,0,0,0,0,0.0,0.548663101604278,0.08755564977740088,"(40.238, 49.99]"
5.34,,Weekday,2.0,Low,Clear,2.34,1.22,0.18,12.72,10.2366,6.514799999999999,2.2896,25.187491156077538,0,0,0,0,0.0,0.3892128279883382,0.36908517350157727,"(1.181, 10.982]"
10.6,Afternoon,Weekday,3.0,Medium,Clear,4.21,1.22,0.3,73.28,32.342,12.931999999999999,21.983999999999998,8.678968239888864,0,0,0,0,0.0,0.14270328486806677,0.36293103448275865,"(1.181, 10.982]"
3.22,Afternoon,Weekday,3.0,Low,Rain,2.83,1.63,0.31,93.78,37.1504,5.2486,29.0718,2.060127574359729,0,0,0,1,0.0,0.033973412112259974,0.6706161137440757,"(1.181, 10.982]"
16.94,Afternoon,Weekday,3.0,Medium,Snow,3.92,1.93,0.42,100.24,78.715,32.6942,42.1008,10.139604112505314,0,0,0,1,0.0,0.16732516791781907,0.2185061315496098,"(10.982, 20.734]"
20.05,Evening,,2.0,Low,,3.02,0.86,0.39,24.61,29.8609,17.243000000000002,9.597900000000001,48.88137631752172,1,0,0,0,0.0,0.7828973057399454,0.14346793349168646,"(10.982, 20.734]"
14.3,Night,Weekday,3.0,High,Clear,4.99,0.99,0.37,108.2,59.181,14.157,40.034,7.9297157317057385,0,0,1,0,108.2,0.13095238095238096,0.3261437908496732,"(10.982, 20.734]"
41.61,Evening,Weekend,3.0,Low,Rain,2.79,0.78,0.15,61.57,47.314800000000005,32.4558,9.2355,40.54857350748571,1,1,0,1,0.0,0.6650151829950456,0.06547758742079324,"(40.238, 49.99]"
18.48,Afternoon,Weekday,4.0,Medium,Clear,2.84,1.37,0.39,106.41,69.6575,25.317600000000002,41.4999,10.420014547422907,0,0,0,0,0.0,0.17205101945815102,0.1457905544147844,"(10.982, 20.734]"
27.59,Evening,Weekend,1.0,Medium,Rain,2.07,1.03,0.46,67.33,61.459500000000006,28.4177,30.9718,24.586146566345764,1,1,0,1,0.0,0.40377579394116786,0.07240293809024134,"(20.734, 30.486]"
7.91,Morning,Weekday,4.0,Medium,Clear,4.09,1.55,0.47,110.69,68.3748,12.2605,52.0243,4.287626952966196,1,0,0,0,0.0,0.0708210224729161,0.45903479236812567,"(1.181, 10.982]"
40.31,Morning,Weekday,4.0,Medium,Clear,4.18,1.34,0.12,108.49,71.2142,54.01540000000001,13.018799999999999,22.293175629962413,1,0,0,0,0.0,0.36816147593387527,0.10118615347373516,"(40.238, 49.99]"
4.65,Afternoon,Weekday,1.0,Medium,,4.51,1.08,0.43,56.54,33.8442,5.022000000000001,24.3122,4.934507239045925,0,0,0,0,0.0,0.08081334723670491,0.7982300884955751,"(1.181, 10.982]"
49.36,Morning,,4.0,High,Rain,4.92,1.13,0.12,36.56,65.084,55.776799999999994,4.3872,81.00523514384336,1,0,1,1,36.56,1.3141640042598508,0.0976965845909452,"(40.238, 49.99]"
38.84,Morning,Weekend,2.0,Low,Clear,4.93,1.34,0.25,50.21,69.52810000000001,52.04560000000001,12.5525,46.412510505749786,1,1,0,0,0.0,0.7584456160906073,0.1237449799196787,"(30.486, 40.238]"
10.74,Morning,,3.0,Medium,Clear,2.2,0.51,0.32,49.59,23.5462,5.4774,15.868800000000002,12.994398131904031,1,0,0,0,0.0,0.21229491994465308,0.18739352640545145,"(1.181, 10.982]"
1.27,Morning,Weekday,2.0,High,Clear,4.47,0.62,0.16,37.99,11.3358,0.7874,6.0784,2.005759319410591,1,0,1,0,37.99,0.03257245447550654,1.9691629955947136,"(1.181, 10.982]"
40.96,Morning,Weekend,1.0,High,,3.94,1.82,0.4,35.89,92.8432,74.5472,14.356000000000002,68.47475383526607,1,1,1,0,35.89,1.1103280021686095,0.09389895138226882,"(40.238, 49.99]"
35.64,Night,Weekend,1.0,High,Rain,3.94,0.62,0.1,104.02,36.4388,22.0968,10.402000000000001,20.557466501827523,0,1,1,1,104.02,0.33936393067987053,0.10753275109170306,"(30.486, 40.238]"
36.72,,Weekend,2.0,Low,Clear,2.39,1.56,0.17,13.03,61.8883,57.2832,2.2151,169.07893727073198,0,1,0,0,0.0,2.617248752672844,0.06336161187698834,"(30.486, 40.238]"
38.79,Afternoon,Weekday,2.0,Low,Clear,3.95,1.88,0.33,82.93,104.2421,72.92519999999999,27.366900000000005,28.064429776222525,0,0,0,0,0.0,0.46217085666626945,0.09927117366172405,"(30.486, 40.238]"
4.63,Afternoon,Weekday,2.0,Medium,Clear,4.95,0.91,0.39,24.87,18.8626,4.2133,9.699300000000001,11.169814962244576,0,0,0,0,0.0,0.17897178198685734,0.8792184724689166,"(1.181, 10.982]"
18.56,Morning,Weekend,1.0,Medium,Snow,4.74,1.22,0.47,44.62,45.385000000000005,22.643199999999997,20.9714,24.957082603102606,1,1,0,1,0.0,0.4068391056554143,0.2423312883435583,"(10.982, 20.734]"
6.68,Night,Weekend,2.0,Medium,Clear,3.32,1.35,0.38,12.08,16.9284,9.018,4.5904,33.17716007483072,0,1,0,0,0.0,0.5107033639143731,0.4322916666666667,"(1.181, 10.982]"
43.29,Evening,Weekday,1.0,Medium,Rain,2.12,1.82,0.37,36.05,94.2463,78.7878,13.338499999999998,72.0487315051622,1,0,0,1,0.0,1.168421052631579,0.04786633551591782,"(40.238, 49.99]"
31.54,Morning,Weekday,2.0,High,Clear,3.09,1.91,0.26,93.37,87.6076,60.2414,24.276200000000003,20.267621713901377,1,0,1,0,93.37,0.33421638232489137,0.094960049170252,"(30.486, 40.238]"
17.21,Afternoon,Weekday,2.0,Low,Rain,4.48,1.61,0.1,106.78,42.8661,27.7081,10.678,9.670295915175602,0,0,0,1,0.0,0.15967712005938023,0.24601867105985722,"(10.982, 20.734]"
4.11,Evening,Weekend,2.0,High,Rain,4.1,0.63,0.15,30.48,11.2613,2.5893,4.572,8.09039192141887,1,1,1,1,30.48,0.13055908513341805,0.8023483365949118,"(1.181, 10.982]"
25.87,Night,Weekday,1.0,Medium,Clear,3.38,1.5,0.31,58.31,45.8161,38.805,18.0761,26.61951686314324,0,0,0,0,0.0,0.4361827685044681,0.12579084480833644,"(20.734, 30.486]"
16.93,Afternoon,Weekday,4.0,Low,Snow,2.17,1.12,0.37,59.09,42.9949,18.9616,21.863300000000002,17.190551458269166,0,0,0,1,0.0,0.28174405059078045,0.12102621305075292,"(10.982, 20.734]"
36.75,Afternoon,Weekday,2.0,Medium,Clear,3.28,1.21,0.27,105.46,76.2217,44.4675,28.4742,20.90828233482457,0,0,0,0,0.0,0.3452000751455946,0.08688741721854304,"(30.486, 40.238]"
25.87,,Weekday,1.0,Medium,Clear,3.41,0.57,0.39,92.72,57.9476,14.745899999999999,36.1608,16.74061643259427,0,0,0,0,0.0,0.2760349978659838,0.1269073315965761,"(20.734, 30.486]"
44.47,Night,Weekend,1.0,Low,Clear,4.79,0.79,0.31,64.0,59.761300000000006,35.1313,19.84,41.6902341540548,0,1,0,0,0.0,0.6841538461538461,0.10534418297778755,"(40.238, 49.99]"
24.14,Morning,Weekday,2.0,Low,,3.92,1.69,0.29,82.14,55.3948,40.7966,23.8206,17.633180181298894,1,0,0,0,0.0,0.29035362039932644,0.15592680986475735,"(20.734, 30.486]"
6.86,Night,Weekend,2.0,High,Clear,2.93,1.18,0.18,102.45,29.4658,8.0948,18.441,4.017546017300045,0,1,1,0,102.45,0.06631222812953118,0.37277353689567433,"(1.181, 10.982]"
35.95,Afternoon,Weekend,4.0,Low,Clear,3.58,0.95,0.44,6.1,40.4165,34.1525,2.6839999999999997,353.57177982493533,0,1,0,0,0.0,5.063380281690142,0.09688768606224628,"(30.486, 40.238]"
38.28,Afternoon,Weekday,1.0,Medium,Clear,3.51,1.08,0.39,51.33,63.56110000000001,41.342400000000005,20.0187,44.745239681593446,0,0,0,0,0.0,0.7315115612459393,0.08935845213849286,"(30.486, 40.238]"
28.5,Afternoon,Weekday,1.0,Medium,Clear,4.92,1.78,0.46,109.33,105.9418,50.730000000000004,50.2918,15.640634918311981,0,0,0,0,0.0,0.2583159612072872,0.16677966101694916,"(20.734, 30.486]"
25.87,Morning,Weekend,1.0,Medium,Clear,3.43,0.91,0.5,67.43,60.077,23.541700000000002,33.715,23.019222726773894,1,1,0,0,0.0,0.37805056261873443,0.12765165612206922,"(20.734, 30.486]"
26.61,Morning,Weekday,4.0,Low,Rain,3.07,0.68,0.18,65.91,33.0286,18.0948,11.8638,24.223721222383045,1,0,0,1,0.0,0.3976984008369452,0.11119159724737414,"(20.734, 30.486]"
21.95,Morning,Weekday,3.0,Medium,Clear,4.05,0.88,0.1,44.99,27.865,19.316,4.4990000000000006,29.272781425453317,1,0,0,0,0.0,0.47727766905849095,0.17647058823529413,"(20.734, 30.486]"
2.25,Evening,Weekend,3.0,Low,Clear,3.99,1.88,0.5,61.57,40.65,4.2299999999999995,30.785,2.1926049120846636,1,1,0,0,0.0,0.035959725107879176,1.2276923076923079,"(1.181, 10.982]"
6.29,Afternoon,Weekday,3.0,,Clear,4.15,1.37,0.21,80.37,29.645000000000003,8.6173,16.8777,4.69574695224373,0,0,0,0,0.0,0.07730121666461841,0.5692729766803841,"(1.181, 10.982]"
2.54,Morning,Weekend,2.0,Low,Clear,2.8,1.3,0.37,53.11,25.7527,3.302,19.6507,2.8694836812237106,1,1,0,0,0.0,0.04694141563481796,0.7909604519774011,"(1.181, 10.982]"
32.18,Night,Weekday,2.0,Medium,Rain,2.95,1.39,0.17,87.13,62.4923,44.730199999999996,14.812100000000001,22.15983821986765,0,0,0,1,0.0,0.3651424032678997,0.08890898131404461,"(30.486, 40.238]"
16.4,Evening,Weekday,1.0,,Rain,2.38,1.05,0.33,104.04,53.9332,17.22,34.333200000000005,9.457846263862374,1,0,0,1,0.0,0.1561309977151561,0.1367816091954023,"(10.982, 20.734]"
25.92,Night,Weekday,3.0,Low,Clear,3.97,1.71,0.46,22.79,58.7766,44.3232,10.4834,68.23865979833792,0,0,0,0,0.0,1.08953341740227,0.1474739970282318,"(20.734, 30.486]"
45.47,Night,Weekend,4.0,Low,Rain,2.12,1.28,0.23,56.93,73.4155,58.2016,13.0939,47.921504428198546,0,1,0,1,0.0,0.7849128258242707,0.04562083064342587,"(40.238, 49.99]"
13.22,Morning,Weekday,2.0,Low,Rain,3.79,0.68,0.37,51.92,31.99,8.989600000000001,19.2104,15.277173222189266,1,0,0,1,0.0,0.24981103552532125,0.26652601969057665,"(10.982, 20.734]"
21.11,Afternoon,Weekend,4.0,High,Rain,4.61,0.69,0.18,84.06,34.3067,14.5659,15.1308,15.067701158449974,0,1,1,1,84.06,0.2481777568774982,0.20850293984622345,"(20.734, 30.486]"
38.02,Evening,,4.0,,Clear,3.51,1.31,0.35,33.73,66.2817,49.806200000000004,11.805499999999999,67.6299858288913,1,0,0,0,0.0,1.0947307803052118,0.08995386981035365,"(30.486, 40.238]"
25.87,Morning,Weekday,2.0,Low,Clear,4.01,1.65,0.17,109.77,37.355900000000005,42.6855,18.6609,14.140398248711405,1,0,0,0,0.0,0.23354698925701906,0.14923706736136955,"(20.734, 30.486]"
46.56,Morning,Weekday,3.0,Low,Clear,4.46,0.87,0.46,119.21,99.8038,40.507200000000005,54.8366,23.43415770074138,1,0,0,0,0.0,0.38732218617419517,0.09377628259041211,"(40.238, 49.99]"
40.6,Afternoon,Weekend,3.0,Medium,Clear,2.73,0.55,0.26,17.2,29.532000000000004,22.330000000000002,4.4719999999999995,141.62296664069856,0,1,0,0,0.0,2.230769230769231,0.065625,"(40.238, 49.99]"
32.04,Afternoon,Weekday,3.0,Low,Clear,3.26,0.65,0.2,31.8,30.446,20.826,6.36,60.45168959076244,0,0,0,0,0.0,0.976829268292683,0.0986682808716707,"(30.486, 40.238]"
43.7,,Weekday,3.0,Low,Clear,4.52,1.59,0.28,114.29,106.0042,69.483,32.001200000000004,22.94151925005206,0,0,0,0,0.0,0.37904414953595283,0.10111856823266217,"(40.238, 49.99]"
40.38,Morning,Weekday,1.0,Medium,Rain,3.51,0.8,0.23,115.21,63.432300000000005,32.304,26.4983,21.029315010945176,1,0,0,1,0.0,0.3474743997934774,0.0848235862735621,"(40.238, 49.99]"
10.14,Evening,Weekday,3.0,High,Rain,2.73,1.06,0.4,16.24,19.974400000000003,10.748400000000002,6.4959999999999996,37.46167013533983,1,0,1,1,16.24,0.5881670533642692,0.24506283662477557,"(1.181, 10.982]"
44.74,,Weekday,2.0,Medium,Clear,3.65,1.25,0.49,6.72,62.8678,55.925000000000004,3.2927999999999997,399.4286224444246,0,0,0,0,0.0,5.795336787564767,0.07979886313948403,"(40.238, 49.99]"
27.43,Morning,Weekend,4.0,Low,Rain,2.58,1.59,0.28,23.53,52.7821,43.6137,6.588400000000001,69.94296788012205,1,1,0,1,0.0,1.1182225845902976,0.0907492085824833,"(20.734, 30.486]"
40.56,Evening,Weekend,3.0,Medium,Rain,2.31,0.67,0.44,119.54,82.0828,27.175200000000004,52.5976,20.357936968695153,1,1,0,1,0.0,0.33648581383773024,0.055582290664100094,"(40.238, 49.99]"
44.91,Night,Weekday,1.0,Low,Rain,4.73,1.11,0.33,25.7,63.0611,49.8501,8.481,104.8458012653401,0,0,0,1,0.0,1.6820224719101122,0.10302766281855806,"(40.238, 49.99]"
6.39,Evening,Weekday,4.0,High,Clear,4.28,1.31,0.38,102.57,51.6275,8.3709,38.9766,3.7379132031985773,1,0,1,0,102.57,0.061697402722796175,0.5791610284167795,"(1.181, 10.982]"
12.17,Afternoon,Weekend,4.0,Low,Rain,2.15,1.73,0.31,7.35,25.4826,21.0541,2.2784999999999997,99.33882948330749,0,1,0,1,0.0,1.4574850299401199,0.16324981017463933,"(10.982, 20.734]"
21.93,Afternoon,,3.0,Low,,4.53,0.76,0.29,74.52,48.024,16.6668,21.610799999999998,17.65686266616211,0,0,0,0,0.0,0.2903866525423729,0.19755778456170955,"(20.734, 30.486]"
41.08,Morning,,4.0,Low,,3.31,1.71,0.46,36.86,90.5124,70.2468,16.9556,66.86814647618326,1,0,0,0,0.0,1.0850501848917062,0.0786596958174905,"(40.238, 49.99]"
43.18,Afternoon,Weekday,3.0,High,Clear,3.03,1.54,0.29,104.17,98.6948,66.4972,30.2093,24.87074088082434,0,0,1,0,104.17,0.41057335742131784,0.06858306926210955,"(40.238, 49.99]"
1.34,,Weekend,3.0,Medium,Clear,3.64,1.33,0.46,37.6,22.718200000000003,1.7822000000000002,17.296000000000003,2.1382637511103546,0,1,0,0,0.0,0.03471502590673575,1.5555555555555558,"(1.181, 10.982]"
26.03,Morning,Weekday,2.0,Medium,Clear,2.27,1.55,0.4,83.98,76.20850000000002,40.346500000000006,33.592000000000006,18.597152199436533,1,0,0,0,0.0,0.3063073664391622,0.08398076211616722,"(20.734, 30.486]"
21.45,Evening,Weekday,2.0,Medium,Clear,4.27,1.12,0.3,82.54,53.056,24.024,24.762,15.592326685291841,1,0,0,0,0.0,0.25676322719655253,0.19020044543429843,"(20.734, 30.486]"
11.88,Afternoon,Weekday,1.0,,,3.75,0.71,0.34,30.47,22.544600000000003,8.434800000000001,10.3598,23.39304116098797,0,0,0,0,0.0,0.3775023832221163,0.2911490683229814,"(10.982, 20.734]"
6.87,Morning,Weekday,2.0,Medium,Rain,2.56,1.5,0.23,9.0,14.935,10.305,2.0700000000000003,45.79694687020865,1,0,0,1,0.0,0.687,0.3252858958068615,"(1.181, 10.982]"
17.54,Morning,Weekday,2.0,Low,Rain,2.56,1.29,0.49,52.06,50.696,22.6266,25.5094,20.214903401036484,1,0,0,1,0.0,0.33056916698077643,0.13807982740021577,"(10.982, 20.734]"
25.87,Afternoon,Weekend,3.0,Low,Clear,2.55,1.46,0.37,38.26,85.6182,37.7702,14.156199999999998,40.56914946446214,0,1,0,0,0.0,0.6589403973509934,0.09490137700037216,"(20.734, 30.486]"
16.84,Morning,Weekend,2.0,Medium,Snow,2.17,1.01,0.12,98.03,30.942000000000004,17.0084,11.7636,10.306985777910162,1,1,0,1,0.0,0.17004947995556902,0.12163677130044842,"(10.982, 20.734]"
26.42,Evening,Weekday,3.0,High,Clear,3.76,1.86,0.23,97.04,75.22040000000001,49.141200000000005,22.319200000000002,16.335430737237814,1,0,1,0,97.04,0.26948184414524684,0.13712618526622902,"(20.734, 30.486]"
25.87,,,3.0,Low,Clear,4.52,1.38,0.35,57.56,73.587,35.7006,20.146,26.9663624076191,0,0,0,0,0.0,0.4417691256830601,0.16821734276144396,"(20.734, 30.486]"
